,id,graph_edit_distance
0,56evhi,3.0
1,3k3poc,2.0
2,56lfgg,6.0
3,3ax9vq,0.0
4,4vitzb,4.0
5,97wnik,0.0
6,65rh7d,0.0
7,5zuq15,3.0
8,3cjvd3,5.0
9,2jai8a,0.0
10,5zu8fr,2.0
11,5hpnjq,0.0
12,4v7m6d,3.0
13,93l58u,4.0
14,2lbtag,0.0
15,93l2o5,3.0
16,4v407m,3.0
17,2m8psj,0.0
18,2w3yt3,3.0
19,2vundw,0.0
20,4ij2wh,0.0
21,3jti3p,0.0
22,2m2l4c,3.0
23,2vucrt,0.0
24,2k7avm,0.0
25,3vlctr,0.0
26,5ht50p,0.0
27,5d4lt0,0.0
28,4vf0fr,0.0
29,2jov71,0.0
30,94lmms,2.0
31,4igvyn,0.0
32,3jvuly,0.0
33,4hkck3,0.0
34,95290l,3.0
35,2vqorp,0.0
36,2v404t,0.0
37,4vzvbl,3.0
38,9ci2xs,0.0
39,65lnev,3.0
40,3khd0r,8.0
41,3ki5zk,2.0
42,4w0g1h,0.0
43,2erp8u,0.0
44,2f256m,4.0
45,5wdh16,3.0
46,2fbgke,0.0
47,4vwfhm,0.0
48,5wdqaj,0.0
49,4i6biv,0.0
50,3ql25n,0.0
51,2eyz0o,0.0
52,2ugvlk,4.0
53,9duzs3,0.0
54,2crwvn,0.0
55,5iax1q,3.0
56,2d1dw3,0.0
57,5w9hr7,0.0
58,5ic4so,4.0
59,3nurrb,0.0
60,3nutv7,5.0
61,9exhbo,0.0
62,2dnh6n,2.0
63,4fy8ff,0.0
64,56yzkm,7.0
65,2drw2r,4.0
66,4i40d7,4.0
67,3vyv68,0.0
68,3kls7b,0.0
69,65izxo,3.0
70,9ei2nm,0.0
71,2hi0st,0.0
72,4d960q,0.0
73,2v1gmy,3.0
74,5ckjqo,0.0
75,2uwsye,3.0
76,3ka9o2,0.0
77,56nfo3,2.0
78,56o19i,0.0
79,3ka82e,0.0
80,65r5mp,35.0
81,4oroxo,8.0
82,2v54a7,2.0
83,2v5r6r,0.0
84,56pcgr,3.0
85,6vs4wq,0.0
86,2ftuq1,0.0
87,56too3,2.0
88,2fquuc,2.0
89,3b2kaz,0.0
90,2fpwo9,3.0
91,9beua6,3.0
92,2gn45i,0.0
93,9aaurf,0.0
94,3qliv7,4.0
95,49bnba,0.0
96,5zv3l2,2.0
97,2usbuw,2.0
98,5i45fy,3.0
99,4i9tcw,3.0
100,2mck5t,0.0
101,2xyfi9,0.0
102,3v17fc,0.0
103,3j17vx,2.0
104,3j0pin,5.0
105,4njbju,0.0
106,8svdth,0.0
107,6ya6ao,4.0
108,2tf9jm,5.0
109,3j2uw7,0.0
110,2y400r,0.0
111,3iz3p0,2.0
112,8s4yu7,4.0
113,4j29az,1.0
114,2xvdqr,2.0
115,2xo844,0.0
116,2sf219,2.0
117,49xmw3,2.0
118,5x0d2u,3.0
119,2s8euq,0.0
120,4ucdyg,0.0
121,2sthdi,7.0
122,2suxoq,2.0
123,3ag70o,0.0
124,5al3jm,2.0
125,2smalu,1.0
126,55n2fj,4.0
127,2xqmbk,0.0
128,3v3i8z,0.0
129,5h14kw,3.0
130,66r45o,2.0
131,4epjpj,0.0
132,5x8yd7,12.0
133,4tyazn,2.0
134,2vmski,0.0
135,3oc2yf,0.0
136,3qslo2,3.0
137,2ylj3s,2.0
138,6yz370,0.0
139,4d1e6v,2.0
140,4nnv4o,2.0
141,8otveb,2.0
142,557aok,2.0
143,5h0s55,0.0
144,2uwvcf,0.0
145,4u1cma,2.0
146,5d8a3i,0.0
147,5anie5,1.0
148,4u228g,6.0
149,2unrse,2.0
150,2y73h3,3.0
151,4u0kdo,5.0
152,5h2lmm,0.0
153,3obqbq,2.0
154,2vc67a,3.0
155,3iu4xe,0.0
156,66odmn,9.0
157,8v1gba,0.0
158,4mdi55,0.0
159,5agakj,0.0
160,2o7vbk,4.0
161,2why8b,0.0
162,3aqmj5,5.0
163,2wjc0h,2.0
164,2nwc7k,0.0
165,2pfgnb,0.0
166,6xdo73,0.0
167,2wpyna,5.0
168,5hgs5y,4.0
169,3aqqlu,0.0
170,2w8tsp,2.0
171,49nzif,1.0
172,2n38wz,0.0
173,4i1uom,0.0
174,5ae5bu,4.0
175,92mkl8,0.0
176,4v25d4,0.0
177,49npzq,0.0
178,560974.0,5.0
179,2wbo63,0.0
180,61zgdb,3.0
181,2wg80b,3.0
182,4in0ip,4.0
183,4fputa,6.0
184,5ae6o5,0.0
185,91nujj,0.0
186,3vek79,0.0
187,5hg1io,0.0
188,4ivsqu,5.0
189,8w6qks,2.0
190,2xd8wj,5.0
191,4nhkox,0.0
192,2qrfyj,0.0
193,3jda7m,2.0
194,6xxsij,4.0
195,3v75m5,3.0
196,66dude,0.0
197,8v9abs,3.0
198,2xkcrm,0.0
199,4udkgx,3.0
200,2rsoka,2.0
201,2xeob5,0.0
202,5hcd4s,0.0
203,2wyd0q,2.0
204,3ammu6,3.0
205,2q25mp,0.0
206,3va910,4.0
207,5ahhol,3.0
208,5wu2g1,0.0
209,8ylptx,0.0
210,4ukazn,0.0
211,5he6vz,5.0
212,6pmzgd,2.0
213,5aisyf,0.0
214,4pfckm,2.0
215,2qj578,0.0
216,2x47uk,0.0
217,4pcfum,3.0
218,66b7h6,2.0
219,3jeykn,3.0
220,2txxeg,2.0
221,4y1y6p,0.0
222,5j5i3y,0.0
223,5j5fsr,7.0
224,48bi6z,2.0
225,2qcu7m,0.0
226,6465di,0.0
227,3m5soh,3.0
228,1li0ko,6.0
229,4y2u9z,5.0
230,4n9x7y,0.0
231,4gzj43,0.0
232,1n1d5i,0.0
233,58c23s,0.0
234,5vhesa,6.0
235,1mqog8,0.0
236,4y3lym,2.0
237,a4oih9,0.0
238,5j7ttd,0.0
239,4msh47,0.0
240,4gv8ha,5.0
241,a5didn,0.0
242,59aqqq,2.0
243,5j8x6q,1.0
244,1k0b4z,3.0
245,1k1i0p,3.0
246,635b5j,1.0
247,3x8wc4,0.0
248,58evf2,0.0
249,644fyl,4.0
250,2q80o5,0.0
251,643o4b,0.0
252,a45qst,3.0
253,1kz4qy,0.0
254,5iz0al,0.0
255,2r2po8,0.0
256,1qmhxz,3.0
257,4xq9r5,8.0
258,1pzuvb,0.0
259,5iz8wc,0.0
260,62xp9s,0.0
261,9y4tfu,17.0
262,1rwu3g,0.0
263,5vowom,0.0
264,2ra4ub,0.0
265,5zz11w,0.0
266,9xilpa,12.0
267,5vobdy,6.0
268,4lfp3e,4.0
269,589eyr,2.0
270,4xwqzp,5.0
271,64b95p,0.0
272,6t1nr9,4.0
273,5j3adm,5.0
274,6rgsni,3.0
275,64dg8i,0.0
276,3lxn9n,2.0
277,1pmeqv,0.0
278,2qzf4a,4.0
279,3bsr0c,0.0
280,4h2crp,0.0
281,5j1nsg,0.0
282,6t20g4,0.0
283,5885zs,0.0
284,637fct,0.0
285,3mr0l9,6.0
286,2oyukh,2.0
287,2oz8ur,0.0
