,id,num_nodes_joke,num_nodes_nonj
0,56evhi,5,6
1,2vbbkq,4,0
2,3k3poc,2,3
3,56lfgg,5,8
4,3ax9vq,3,3
5,4vitzb,6,8
6,97wnik,9,9
7,4hvhg8,14,0
8,65rh7d,4,4
9,5zuq15,2,4
10,3cjvd3,7,6
11,5d4fr6,8,15
12,2jai8a,10,10
13,5zu8fr,4,5
14,5hpnjq,4,4
15,4v7m6d,6,4
16,93l58u,7,7
17,2lbtag,6,6
18,93l2o5,8,9
19,4v407m,4,4
20,2m8psj,5,5
21,2w3yt3,11,10
22,2vundw,4,4
23,4ij2wh,6,6
24,3jti3p,2,2
25,2m2l4c,8,9
26,2vucrt,4,4
27,2k7avm,12,12
28,3vlctr,6,6
29,5ht50p,6,6
30,5d4lt0,4,4
31,4vf0fr,4,4
32,96hna4,0,0
33,2jov71,10,10
34,94lmms,6,6
35,4igvyn,3,3
36,3jvuly,7,7
37,4hkck3,4,4
38,4vapwo,9,0
39,95290l,5,4
40,2vqorp,7,7
41,2v404t,5,5
42,3nw5la,9,0
43,4vzvbl,3,4
44,9ci2xs,5,5
45,9drfs2,13,12
46,65lnev,2,4
47,3khd0r,7,10
48,2e9d5b,11,9
49,3ki5zk,3,4
50,4w0g1h,4,4
51,2erp8u,5,5
52,2f256m,5,6
53,5wdh16,11,11
54,5a4jfm,9,7
55,2fbgke,7,7
56,4vwfhm,6,6
57,5wdqaj,5,5
58,4i6biv,4,4
59,3ql25n,5,5
60,2eyz0o,7,7
61,2ugvlk,9,11
62,9duzs3,5,5
63,2crwvn,6,6
64,5iax1q,8,6
65,2d1dw3,4,4
66,9f1z66,11,8
67,5w9hr7,3,3
68,5ic4so,7,6
69,3nurrb,6,6
70,3nutv7,3,6
71,5ib8j6,15,13
72,9exhbo,5,5
73,2dnh6n,11,12
74,4fy8ff,4,4
75,56yzkm,2,6
76,2drw2r,5,4
77,4i40d7,2,4
78,3vyv68,4,4
79,3kls7b,5,5
80,65izxo,3,4
81,9ei2nm,5,5
82,2hi0st,5,5
83,4d960q,5,5
84,2v1gmy,8,6
85,5ckjqo,3,3
86,2uwsye,4,4
87,3ka9o2,4,4
88,56nfo3,2,3
89,56o19i,4,4
90,3ka82e,8,8
91,65r5mp,25,2
92,624qww,0,0
93,4oroxo,8,6
94,2v54a7,4,3
95,2v5r6r,2,2
96,56pcgr,4,2
97,6vs4wq,3,3
98,2ftuq1,9,9
99,499isi,16,0
100,56too3,4,3
101,2fquuc,4,3
102,3b2kaz,11,11
103,2fpwo9,6,4
104,9beua6,9,11
105,2gn45i,4,4
106,9aaurf,3,3
107,3qliv7,3,4
108,49bnba,4,4
109,5zv3l2,2,3
110,2usbuw,4,5
111,5i45fy,3,4
112,4i9tcw,4,5
113,2mck5t,7,7
114,2xyfi9,8,8
115,3v17fc,9,9
116,3j17vx,7,7
117,3j0pin,9,9
118,4njbju,6,6
119,8svdth,11,11
120,6ya6ao,7,5
121,2tf9jm,6,9
122,3j2uw7,7,7
123,2y400r,4,4
124,3iz3p0,3,4
125,8s4yu7,4,6
126,4j29az,5,5
127,2xvdqr,5,4
128,2xo844,5,5
129,2sf219,7,7
130,49xmw3,3,4
131,6y3qs5,11,0
132,5x0d2u,5,3
133,2s8euq,6,6
134,4ucdyg,9,9
135,2sthdi,5,7
136,2suxoq,3,3
137,3ag70o,6,6
138,5al3jm,6,5
139,2smalu,3,3
140,55n2fj,4,3
141,2xqmbk,10,10
142,3v3i8z,5,5
143,5h14kw,10,8
144,66r45o,6,5
145,4epjpj,8,8
146,5x8yd7,7,2
147,4tyazn,3,4
148,2vmski,7,7
149,3oc2yf,4,4
150,3qslo2,3,2
151,2ylj3s,6,7
152,6yz370,4,4
153,4d1e6v,9,9
154,4nnv4o,6,7
155,8otveb,4,5
156,5aqbip,13,0
157,557aok,6,5
158,5h0s55,5,5
159,2uwvcf,5,5
160,4u1cma,3,4
161,5d8a3i,6,6
162,5anie5,4,4
163,5h39cg,0,0
164,4u228g,8,5
165,2unrse,4,4
166,2y73h3,4,5
167,4u0kdo,7,6
168,5h2lmm,4,4
169,3obqbq,3,3
170,2vc67a,5,5
171,3iu4xe,6,6
172,66odmn,7,2
173,8v1gba,5,5
174,4mdi55,6,6
175,564400,10,0
176,5agakj,5,5
177,2o7vbk,5,7
178,2why8b,4,4
179,3aqmj5,5,3
180,4uvsto,11,0
181,2wjc0h,5,4
182,2nwc7k,4,4
183,3qolri,12,0
184,2ws8b7,4,0
185,2pfgnb,12,12
186,6xdo73,8,8
187,2wpyna,3,6
188,5hgs5y,3,5
189,3aqqlu,7,7
190,2w8tsp,3,2
191,49nzif,5,5
192,2n38wz,2,2
193,4i1uom,2,2
194,5ae5bu,7,8
195,92mkl8,6,6
196,4v25d4,4,4
197,56728g,5,0
198,49npzq,5,5
199,560974,10,11
200,2wbo63,8,8
201,61zgdb,4,6
202,2wg80b,4,4
203,4in0ip,6,5
204,4fputa,8,7
205,5ae6o5,4,4
206,91nujj,4,4
207,3vek79,3,3
208,5hg1io,7,7
209,4ivsqu,6,4
210,8w6qks,3,2
211,2xd8wj,2,5
212,4nhkox,5,5
213,2qrfyj,7,7
214,3jda7m,8,7
215,6xxsij,5,6
216,3v75m5,5,6
217,66dude,5,5
218,8v9abs,6,5
219,2xkcrm,6,6
220,4udkgx,2,4
221,2rsoka,4,3
222,2xeob5,5,5
223,2xez8y,0,0
224,4ufzyc,6,0
225,5hcd4s,2,2
226,2pxamy,9,9
227,2wyd0q,6,6
228,3ammu6,5,4
229,2q25mp,7,7
230,5wua1y,0,3
231,3va910,7,6
232,5ahhol,3,4
233,5wu2g1,7,7
234,8ylptx,10,10
235,4ukazn,4,4
236,5he6vz,5,3
237,6pmzgd,3,3
238,5aisyf,5,5
239,4pfckm,2,3
240,2qj578,6,6
241,2x47uk,4,4
242,4pcfum,3,5
243,66b7h6,3,4
244,3jeykn,10,11
245,2txxeg,2,3
246,4y1y6p,3,3
247,5j5i3y,4,4
248,5j5fsr,7,5
249,48bi6z,4,5
250,2qcu7m,6,6
251,6465di,5,5
252,3m5soh,4,3
253,1li0ko,4,7
254,4y2u9z,3,6
255,4n9x7y,10,10
256,4gzj43,5,5
257,1n1d5i,5,5
258,58c23s,4,4
259,5vhesa,2,5
260,1mqog8,19,19
261,4y3lym,4,3
262,a4oih9,3,3
263,5j7ttd,17,17
264,4msh47,4,4
265,2q72up,12,0
266,4gv8ha,5,3
267,a5didn,4,4
