,id,deg_assortativity_coefficient_joke,deg_assortativity_coefficient_njok
0,97pppp,,
1,97pppp,,
2,97pppp,,
3,97pppp,-0.4999999999999988,-0.4999999999999988
4,97pppp,,-0.7071067811865475
5,97pppp,-0.35634832254989796,-0.35634832254989796
6,97pppp,,
7,97pppp,,
8,97pppp,,
9,97pppp,-0.707106781186546,inf
10,97pppp,,
11,97pppp,,0.0
12,97pppp,-0.4082482904638675,-0.4082482904638675
13,97pppp,,
14,97pppp,,-inf
15,97pppp,-0.9999999999999991,-0.9999999999999991
16,97pppp,-0.4000000000000027,
17,97pppp,,
18,97pppp,-0.16666666666666782,-0.16666666666666782
19,97pppp,,
20,97pppp,,
21,97pppp,0.0,0.0
22,97pppp,,
23,97pppp,,
24,97pppp,-0.5773502691896258,-0.5773502691896258
25,97pppp,inf,inf
26,97pppp,0.40824829046386113,0.40824829046386113
27,97pppp,,
28,97pppp,,
29,97pppp,,
30,97pppp,-0.3803837283874239,-0.3803837283874239
31,97pppp,,
32,97pppp,,
33,97pppp,-inf,-inf
34,97pppp,-0.4999999999999988,-0.4999999999999988
35,97pppp,-0.1666666666666696,
36,97pppp,0.24431363743997872,0.24431363743997872
37,97pppp,,
38,97pppp,,
39,97pppp,-0.499999999999999,-0.499999999999999
40,97pppp,inf,-inf
41,97pppp,,
42,97pppp,-0.15249857033260467,-0.0519674637051929
43,97pppp,,-0.4999999999999998
44,97pppp,,
45,97pppp,,
46,97pppp,,
47,97pppp,,
48,97pppp,-0.7205766921228931,inf
49,97pppp,-0.29900497238329177,-0.5773502691896258
50,97pppp,,
51,97pppp,,
52,97pppp,,
53,97pppp,,
54,97pppp,-0.49507377148833603,-0.49507377148833603
55,97pppp,0.4999999999999995,0.4999999999999995
56,97pppp,0.0,0.0
57,97pppp,,
58,97pppp,,
59,97pppp,,
60,97pppp,-0.250000000000004,-0.250000000000004
61,97pppp,,
62,97pppp,-0.4999999999999988,-0.4999999999999988
63,97pppp,-inf,
64,97pppp,,
65,97pppp,,
66,97pppp,,inf
67,97pppp,-0.16666666666666782,-0.16666666666666782
68,97pppp,,
69,97pppp,,
70,97pppp,,
71,97pppp,,
72,97pppp,,
73,97pppp,,
74,97pppp,,
75,97pppp,,
76,97pppp,,
77,97pppp,,
78,97pppp,-0.6123724356957957,-0.6123724356957957
79,97pppp,,
80,97pppp,-0.4999999999999988,-0.4999999999999988
81,97pppp,,
82,97pppp,,
83,97pppp,,
84,97pppp,,
85,97pppp,-0.11470786693528248,-0.11470786693528248
86,97pppp,,
87,97pppp,,-0.9999999999999991
88,97pppp,-0.250000000000004,
89,97pppp,,
90,97pppp,,
91,97pppp,,
92,97pppp,,
93,97pppp,,
94,97pppp,,
95,97pppp,-0.4000000000000027,-0.4000000000000027
96,97pppp,,
97,97pppp,0.10482848367219295,0.1666666666666658
98,97pppp,,
99,97pppp,,
100,97pppp,,
101,97pppp,,
102,97pppp,,
103,97pppp,,
104,97pppp,,0.0
105,97pppp,,
106,97pppp,-0.09128709291752853,-0.09128709291752853
107,97pppp,-inf,-inf
108,97pppp,-0.25145944030220135,-0.25145944030220135
109,97pppp,-0.264575131106461,-0.49507377148833787
110,97pppp,-inf,
111,97pppp,inf,inf
112,97pppp,,
113,97pppp,inf,
114,97pppp,inf,
115,97pppp,,
116,97pppp,,
117,97pppp,,
118,97pppp,,-1.0
119,97pppp,,-0.6123724356957957
120,97pppp,,
121,97pppp,,
122,97pppp,inf,-0.6324555320336743
123,97pppp,,
124,97pppp,,
