,id,num_nodes_joke,num_nodes_nonj,num_edges_joke,num_edges_nonj,density_joke,density_nonj,mean_clustering_joke,mean_clustering_nonj,ratio_joke,ratio_nonj
0,56evhi,5.0,6.0,3.0,3.0,0.15,0.1,0.0,0.0,0.6,0.5
1,3k3poc,2.0,3.0,1.0,2.0,0.5,0.3333333333333333,0.0,0.0,0.5,0.6666666666666666
2,56lfgg,5.0,8.0,3.0,6.0,0.15,0.10714285714285714,0.0,0.0,0.6,0.75
3,3ax9vq,3.0,3.0,3.0,3.0,0.5,0.5,0.5,0.5,1.0,1.0
4,4vitzb,6.0,8.0,4.0,6.0,0.13333333333333333,0.10714285714285714,0.0,0.0,0.6666666666666666,0.75
5,97wnik,9.0,9.0,10.0,10.0,0.1388888888888889,0.1388888888888889,0.1349206349206349,0.1349206349206349,1.1111111111111112,1.1111111111111112
6,65rh7d,4.0,4.0,2.0,2.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.5
7,5zuq15,2.0,4.0,1.0,2.0,0.5,0.16666666666666666,0.0,0.0,0.5,0.5
8,3cjvd3,7.0,6.0,6.0,4.0,0.14285714285714285,0.13333333333333333,0.0,0.0,0.8571428571428571,0.6666666666666666
9,5d4fr6,8.0,15.0,6.0,10.0,0.10714285714285714,0.047619047619047616,0.0,0.0,0.75,0.6666666666666666
10,2jai8a,10.0,10.0,5.0,5.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.5,0.5
11,5zu8fr,4.0,5.0,3.0,4.0,0.25,0.2,0.0,0.0,0.75,0.8
12,5hpnjq,4.0,4.0,5.0,5.0,0.4166666666666667,0.4166666666666667,0.41666666666666663,0.41666666666666663,1.25,1.25
13,4v7m6d,6.0,4.0,4.0,3.0,0.13333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75
14,93l58u,7.0,7.0,6.0,6.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.8571428571428571,0.8571428571428571
15,2lbtag,6.0,6.0,5.0,5.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.8333333333333334,0.8333333333333334
16,93l2o5,8.0,9.0,7.0,7.0,0.125,0.09722222222222222,0.0,0.0,0.875,0.7777777777777778
17,4v407m,4.0,4.0,3.0,2.0,0.25,0.16666666666666666,0.0,0.0,0.75,0.5
18,2m8psj,5.0,5.0,5.0,5.0,0.25,0.25,0.16666666666666666,0.16666666666666666,1.0,1.0
19,2w3yt3,11.0,10.0,6.0,6.0,0.05454545454545454,0.06666666666666667,0.0,0.0,0.5454545454545454,0.6
20,2vundw,4.0,4.0,2.0,2.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.5
21,4ij2wh,6.0,6.0,6.0,6.0,0.2,0.2,0.0,0.0,1.0,1.0
22,3jti3p,2.0,2.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5
23,2m2l4c,8.0,9.0,5.0,5.0,0.08928571428571429,0.06944444444444445,0.0,0.0,0.625,0.5555555555555556
24,2vucrt,4.0,4.0,4.0,4.0,0.3333333333333333,0.3333333333333333,0.2916666666666667,0.2916666666666667,1.0,1.0
25,2k7avm,12.0,12.0,10.0,10.0,0.07575757575757576,0.07575757575757576,0.0,0.0,0.8333333333333334,0.8333333333333334
26,3vlctr,6.0,6.0,5.0,5.0,0.16666666666666666,0.16666666666666666,0.19444444444444445,0.19444444444444445,0.8333333333333334,0.8333333333333334
27,5ht50p,6.0,6.0,3.0,3.0,0.1,0.1,0.0,0.0,0.5,0.5
28,5d4lt0,4.0,4.0,3.0,3.0,0.25,0.25,0.0,0.0,0.75,0.75
29,4vf0fr,4.0,4.0,3.0,3.0,0.25,0.25,0.0,0.0,0.75,0.75
